step,cb,random
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0.2
6,0,0.166667
7,0,0.142857
8,0.125,0.125
9,0.111111,0.111111
10,0.1,0.1
11,0.0909091,0.0909091
12,0.166667,0.0833333
13,0.230769,0.0769231
14,0.285714,0.142857
15,0.266667,0.133333
16,0.25,0.1875
17,0.294118,0.176471
18,0.333333,0.166667
19,0.315789,0.157895
20,0.35,0.2
21,0.380952,0.238095
22,0.409091,0.227273
23,0.391304,0.217391
24,0.375,0.208333
25,0.4,0.2
26,0.423077,0.230769
27,0.444444,0.222222
28,0.464286,0.214286
29,0.482759,0.206897
30,0.5,0.2
31,0.516129,0.225806
32,0.53125,0.21875
33,0.515152,0.212121
34,0.529412,0.205882
35,0.542857,0.2
36,0.555556,0.194444
37,0.567568,0.189189
38,0.578947,0.210526
39,0.589744,0.205128
40,0.6,0.2
41,0.609756,0.195122
42,0.619048,0.214286
43,0.627907,0.232558
44,0.636364,0.227273
45,0.622222,0.244444
46,0.630435,0.23913
47,0.638298,0.234043
48,0.645833,0.229167
49,0.653061,0.22449
50,0.66,0.22
51,0.666667,0.215686
52,0.673077,0.211538
53,0.679245,0.207547
54,0.685185,0.203704
55,0.690909,0.2
56,0.696429,0.196429
57,0.701754,0.210526
58,0.706897,0.206897
59,0.694915,0.220339
60,0.7,0.233333
61,0.704918,0.245902
62,0.709677,0.241935
63,0.714286,0.238095
64,0.71875,0.234375
65,0.723077,0.230769
66,0.727273,0.227273
67,0.731343,0.223881
68,0.735294,0.220588
69,0.73913,0.217391
70,0.742857,0.214286
71,0.746479,0.211268
72,0.75,0.208333
73,0.753425,0.219178
74,0.756757,0.22973
75,0.76,0.226667
76,0.763158,0.223684
77,0.753247,0.233766
78,0.75641,0.230769
79,0.759494,0.240506
80,0.7625,0.2375
81,0.765432,0.234568
82,0.768293,0.231707
83,0.771084,0.228916
84,0.77381,0.22619
85,0.764706,0.235294
86,0.767442,0.232558
87,0.770115,0.229885
88,0.772727,0.238636
89,0.775281,0.247191
90,0.777778,0.255556
91,0.78022,0.263736
92,0.782609,0.26087
93,0.784946,0.258065
94,0.787234,0.255319
95,0.789474,0.252632
96,0.791667,0.25
97,0.793814,0.247423
98,0.795918,0.255102
99,0.79798,0.262626
100,0.8,0.26
101,0.80198,0.257426
102,0.803922,0.254902
103,0.805825,0.252427
104,0.807692,0.25
105,0.809524,0.257143
106,0.811321,0.254717
107,0.813084,0.252336
108,0.814815,0.25
109,0.816514,0.256881
110,0.818182,0.263636
111,0.81982,0.261261
112,0.821429,0.258929
113,0.823009,0.265487
114,0.824561,0.263158
115,0.826087,0.269565
116,0.827586,0.267241
117,0.82906,0.273504
118,0.830508,0.271186
119,0.831933,0.268908
120,0.833333,0.275
121,0.834711,0.280992
122,0.836066,0.278689
123,0.837398,0.284553
124,0.83871,0.282258
125,0.84,0.28
126,0.84127,0.277778
127,0.84252,0.283465
128,0.84375,0.28125
