step,cb,random
1,0,0,0
2,0,0,0
3,0,0,0
4,0.25,0,0
5,0.2,0,0
6,0.333333,0,0
7,0.285714,0.142857,0
8,0.25,0.125,0
9,0.222222,0.111111,0.111111
10,0.2,0.2,0.1
11,0.272727,0.272727,0.0909091
12,0.25,0.333333,0.0833333
13,0.230769,0.307692,0.0769231
14,0.285714,0.357143,0.142857
15,0.266667,0.4,0.133333
16,0.25,0.4375,0.125
17,0.294118,0.470588,0.117647
18,0.277778,0.444444,0.111111
19,0.315789,0.473684,0.105263
20,0.3,0.5,0.1
21,0.333333,0.52381,0.0952381
22,0.363636,0.545455,0.0909091
23,0.347826,0.521739,0.0869565
24,0.375,0.5,0.125
25,0.36,0.52,0.12
26,0.384615,0.5,0.115385
27,0.407407,0.518519,0.111111
28,0.428571,0.535714,0.107143
29,0.448276,0.551724,0.103448
30,0.466667,0.566667,0.1
31,0.451613,0.548387,0.129032
32,0.46875,0.53125,0.125
33,0.484848,0.545455,0.121212
34,0.470588,0.558824,0.117647
35,0.485714,0.571429,0.142857
36,0.5,0.583333,0.138889
37,0.513514,0.594595,0.135135
38,0.526316,0.605263,0.131579
39,0.538462,0.589744,0.128205
40,0.55,0.6,0.125
41,0.536585,0.585366,0.146341
42,0.547619,0.595238,0.142857
43,0.55814,0.604651,0.139535
44,0.568182,0.613636,0.159091
45,0.577778,0.622222,0.177778
46,0.586957,0.630435,0.173913
47,0.595745,0.638298,0.170213
48,0.604167,0.645833,0.1875
49,0.612245,0.653061,0.183673
50,0.62,0.66,0.18
51,0.627451,0.666667,0.176471
52,0.634615,0.673077,0.173077
53,0.641509,0.679245,0.169811
54,0.648148,0.685185,0.166667
55,0.654545,0.690909,0.163636
56,0.660714,0.696429,0.160714
57,0.666667,0.701754,0.157895
58,0.672414,0.706897,0.155172
59,0.677966,0.711864,0.152542
60,0.683333,0.716667,0.15
61,0.688525,0.721311,0.147541
62,0.693548,0.725806,0.145161
63,0.698413,0.730159,0.15873
64,0.703125,0.734375,0.15625
65,0.707692,0.738462,0.153846
66,0.712121,0.742424,0.151515
67,0.716418,0.746269,0.149254
